t_ms,angle_deg,power_mW,v,I_mA,energy_mWh
9048.0,0.0,-0.36,0.9,-0.4,-0.0007
9551.0,0.0,-0.27,0.91,-0.3,-0.0007
10055.0,0.0,-0.55,0.92,-0.6,-0.0008
10559.0,0.0,-0.47,0.93,-0.5,-0.0009
11063.0,0.0,-0.66,0.94,-0.7,-0.001
11567.0,0.0,-0.28,0.94,-0.3,-0.001
12071.0,0.0,-0.19,0.95,-0.2,-0.001
12575.0,0.0,-0.19,0.95,-0.2,-0.0011
13079.0,0.0,-0.38,0.95,-0.4,-0.0011
13584.0,0.0,-0.38,0.96,-0.4,-0.0012
14088.0,0.0,-0.29,0.96,-0.3,-0.0012
14592.0,0.0,-0.29,0.96,-0.3,-0.0012
15097.0,0.0,-0.1,0.96,-0.1,-0.0013
15602.0,0.0,-0.48,0.96,-0.5,-0.0013
16107.0,0.0,-0.67,0.96,-0.7,-0.0014
16611.0,0.0,-0.58,0.97,-0.6,-0.0015
17116.0,0.0,-0.39,0.97,-0.4,-0.0016
17620.0,0.0,-0.29,0.97,-0.3,-0.0016
18125.0,0.0,-0.19,0.97,-0.2,-0.0016
18630.0,0.0,-0.29,0.97,-0.3,-0.0017
19134.0,0.0,-0.48,0.97,-0.5,-0.0017
19639.0,0.0,-0.39,0.97,-0.4,-0.0018
20144.0,0.0,-0.39,0.97,-0.4,-0.0018
20648.0,0.0,-0.49,0.97,-0.5,-0.0019
21153.0,0.0,-0.29,0.98,-0.3,-0.0019
21658.0,0.0,-0.58,0.97,-0.6,-0.002
22163.0,0.0,-0.58,0.97,-0.6,-0.0021
22668.0,0.0,-0.49,0.97,-0.5,-0.0022
23173.0,0.0,-0.39,0.97,-0.4,-0.0022
23678.0,0.0,-0.49,0.97,-0.5,-0.0023
24183.0,0.0,-0.39,0.97,-0.4,-0.0024
24688.0,0.0,-0.39,0.97,-0.4,-0.0024
25192.0,0.0,-0.29,0.97,-0.3,-0.0024
25697.0,0.0,-0.39,0.97,-0.4,-0.0025
26202.0,0.0,-0.39,0.97,-0.4,-0.0026
26706.0,0.0,-0.49,0.97,-0.5,-0.0026
27211.0,0.0,-0.49,0.97,-0.5,-0.0027
27716.0,0.0,-0.39,0.97,-0.4,-0.0027
28220.0,0.0,-0.3,0.99,-0.3,-0.0028
28726.0,0.0,-0.6,0.99,-0.6,-0.0029
29230.0,0.0,-0.3,0.98,-0.3,-0.0029
29735.0,0.0,-0.39,0.98,-0.4,-0.003
30316.0,12.0,-0.12,0.59,-0.2,-0.003
30821.0,12.0,-0.3,0.59,-0.5,-0.003
31326.0,12.0,-0.3,0.6,-0.5,-0.0031
31831.0,12.0,-0.3,0.59,-0.5,-0.0031
32335.0,12.0,-0.3,0.59,-0.5,-0.0031
32840.0,12.0,-0.12,0.59,-0.2,-0.0032
33345.0,12.0,-0.18,0.59,-0.3,-0.0032
33851.0,12.0,-0.12,0.59,-0.2,-0.0032
34356.0,12.0,-0.3,0.59,-0.5,-0.0032
34860.0,12.0,-0.12,0.6,-0.2,-0.0033
35365.0,12.0,-0.36,0.59,-0.6,-0.0033
35870.0,12.0,-0.3,0.59,-0.5,-0.0034
36375.0,12.0,-0.24,0.59,-0.4,-0.0034
36879.0,12.0,-0.3,0.59,-0.5,-0.0034
37384.0,12.0,0.0,0.6,0.0,-0.0034
37889.0,12.0,-0.3,0.59,-0.5,-0.0035
38394.0,12.0,-0.12,0.59,-0.2,-0.0035
38898.0,12.0,-0.06,0.59,-0.1,-0.0035
39403.0,12.0,-0.12,0.59,-0.2,-0.0035
